sample	Cruise	Cruise Name	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NO2+NO3_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	Ba_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Pb_206_204_TD_RATIO_BOTTLE	Pb_206_207_TD_RATIO_BOTTLE	Pb_208_207_TD_RATIO_BOTTLE	Pb_207_204_TD_RATIO_BOTTLE	Pb_208_204_TD_RATIO_BOTTLE	Pb_208_206_TD_RATIO_BOTTLE	Ba_138_134_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Ra_226_T_CONC_BOTTLE [mBq/kg]	Ra_228_T_CONC_BOTTLE [mBq/kg]	Fe_D_CONC_FISH [nmol/kg]	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Ba_TP_CONC_BOTTLE [pmol/kg]	Ba_TPL_CONC_BOTTLE [pmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Cu_TP_CONC_BOTTLE [pmol/kg]	Cu_TPL_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mo_TP_CONC_BOTTLE [pmol/kg]	Mo_TPL_CONC_BOTTLE [pmol/kg]	Ni_TP_CONC_BOTTLE [pmol/kg]	Ni_TPL_CONC_BOTTLE [pmol/kg]	Pb_TP_CONC_BOTTLE [pmol/kg]	Pb_TPL_CONC_BOTTLE [pmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	V_TP_CONC_BOTTLE [pmol/kg]	V_TPL_CONC_BOTTLE [pmol/kg]	Zn_TP_CONC_BOTTLE [pmol/kg]	Zn_TPL_CONC_BOTTLE [pmol/kg]	Chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Chl b_HPLC_P_CONC_BOTTLE [ng/liter]	Chl c3_HPLC_P_CONC_BOTTLE [ng/liter]	DV chl a_HPLC_P_CONC_BOTTLE [ng/liter]	Allo_HPLC_P_CONC_BOTTLE [ng/liter]	But fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Beta Car_HPLC_P_CONC_BOTTLE [ng/liter]	Diadino_HPLC_P_CONC_BOTTLE [ng/liter]	Fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Hex fuco_HPLC_P_CONC_BOTTLE [ng/liter]	Lut_HPLC_P_CONC_BOTTLE [ng/liter]	Perid_HPLC_P_CONC_BOTTLE [ng/liter]	Viola_HPLC_P_CONC_BOTTLE [ng/liter]	Zea_HPLC_P_CONC_BOTTLE [ng/liter]
S0471	GA10	D357	761154	237547	-40.0445	5.52473	6.3	5188	6.3	11.948	34.806	34.806999	269.921936	265.2683	0.556098	1.443902	0.136585	4.692683	2301.199951	2086.399902	NA	NA	24.578537	NA	NA	1.317073	10.599	5.351	1.884	7.86	1.507	0.438	2.208	0.347	2.78	0.777	2.576	0.354	2.044	0.323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.195122	34.439026	0.614634	0.253659	2095.609863	1798.048828	0.04878	0	26.829268	4.721951	21.463415	18.536585	0.614634	0.161951	0.043902	0.039024	9.073171	5.170732	19.512196	19.512196	0.897561	0.370732	0.078049	0	66.146339	63.609756	142.439026	116.097557	106.683502	0	6.77	0	0	20.24	8.23	25.299999	10.34	74.269997	0	5.94	7.64	19.370001
S0472	GA10	D357	761154	237545	-40.0445	5.52473	21.6	5188	21.8	11.947	34.806999	34.807999	270.117065	265.3658	0.565854	1.414634	0.136585	4.702439	2302.100098	2085.800049	NA	NA	24.578537	NA	NA	1.317073	10.825	6.08	1.948	8.06	1.503	0.451	2.186	0.344	2.788	0.78	2.569	0.353	2.038	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.195122	34.439026	0.614634	0.253659	2095.609863	1798.048828	0.04878	0	26.829268	4.721951	21.463415	18.536585	0.614634	0.161951	0.043902	0.039024	9.073171	5.170732	19.512196	19.512196	0.897561	0.370732	0.078049	0	66.146339	63.609756	142.439026	116.097557	147.920395	0	5.7	9.49	0	24.43	9.27	26.450001	12.24	90.279999	0	5.07	9.38	26.23
S0473	GA10	D357	761154	237538	-40.0445	5.52473	51.2	5188	51.6	11.702	34.799	34.799999	268.10733	263.3171	0.57561	1.443902	0.156098	4.829268	NA	NA	NA	NA	5.121951	NA	NA	0.253659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.487804	16.390244	2.429268	0.117073	1364.878052	960.975586	0.058537	0	17.482927	3.902439	19.512196	15.609756	0.390244	0.161951	0.036098	0.03122	5.463415	2.731707	18.536585	18.536585	0.682927	0.136585	0.712195	0.001951	15.512195	12.195122	34.146343	16.585365	261.457489	0	0	28.99	0	28.440001	8.7	9.21	7.96	94.330002	0	8.06	7.24	18.08
S0474	GA10	D357	761154	237537	-40.0445	5.52473	66.3	5188	66.8	11.695	34.799	34.799999	267.600006	262.9268	0.585366	1.434146	0.156098	4.848781	NA	NA	NA	NA	9.892683	NA	NA	0.341463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.024389	19.902439	7.180488	0.117073	1911.219482	508.292694	0.078049	0	10.995122	3.970732	23.414635	10.731707	0.390244	0.060488	0.036098	0.029268	6.439024	3.414634	21.463415	21.463415	0.839024	0.195122	0.897561	0.003902	15.707317	8.487805	61.463413	46.829269	166.289307	0	0	12.33	0	25.1	6.83	7.78	10.56	80.709999	0	3.61	8.6	12.83
S0475	GA10	D357	761154	237535	-40.0445	5.52473	81.4	5188	82	11.695	34.799	34.799999	266.62439	262.439	0.585366	1.453658	0.156098	4.878049	2302	2082.899902	10.26	NA	9.892683	NA	NA	0.341463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.024389	19.902439	7.180488	0.117073	1911.219482	508.292694	0.078049	0	10.995122	3.970732	23.414635	10.731707	0.390244	0.060488	0.036098	0.029268	6.439024	3.414634	21.463415	21.463415	0.839024	0.195122	0.897561	0.003902	15.707317	8.487805	61.463413	46.829269	168.141006	0	0	0	0	20.09	9.65	6.5	7.52	67.959999	0	0	5.04	10.54
S0476	GA10	D357	761154	237533	-40.0445	5.52473	101.9	5188	102.7	11.699	34.799	34.799999	266.975616	262.3415	0.585366	1.443902	0.156098	4.878049	2302	2082.899902	10.26	NA	4.536585	NA	NA	0.068293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.170732	15.414634	0.926829	0.156098	2329.756104	561.951233	0.068293	0	11.668293	3.219512	14.634146	9.756098	0.390244	0.158049	0.032195	0.027317	4.682927	2.829268	17.560976	17.560976	0.790244	0.185366	0.097561	0.002927	8.195122	7.414634	48.780487	37.07317	120.072304	0	0	16.299999	9.06	24.280001	5.23	0	11.86	70.589996	0	0	7.77	14.2
S0477	GA10	D357	761162	237745	-40.0054	0.86865	6	4953	6	10.728	34.540001	34.541	283.941467	276.0976	0.731707	1.804878	0.165854	7.395122	2292.699951	2085.399902	10.76	42.536587	0.985366	0.1	19.950001	1.170732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.188999	1.164	2.433	15.629	38.028	2.091	0.580000	-0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	216.401398	0	0	0	0	28.780001	9.63	47.75	20.09	149.529999	0	19.110001	13.5	23.34
S0478	GA10	D357	761162	237743	-40.0054	0.86865	21.4	4953	21.6	10.55	34.537998	34.539001	284.751221	276.1951	0.731707	1.804878	0.17561	7.482927	2292.699951	2085.399902	10.76	42.634148	0.985366	0.04	19.950001	1.170732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.188999	1.164	2.433	15.629	38.028	2.091	0.590000	-0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364.347198	57.93	0	0	0	36.150002	14.65	35.720001	23.780001	192.449997	0	50.529999	17.790001	29.559999
S0479	GA10	D357	761162	237741	-40.0054	0.86865	50.9	4953	51.3	10.483	34.540001	34.540001	283.990265	276	0.721951	1.746341	0.17561	7.531707	2298.899902	2088.199951	NA	42.634148	1.629268	0.04	26.540001	0.263415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.139999	1.162	2.434	15.617	38.006001	2.095	0.570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253.309204	41.619999	0	0	0	32.209999	12.15	51.810001	22.139999	165.839996	0	46.889999	18.940001	28.690001
S0480	GA10	D357	761162	237739	-40.0054	0.86865	61.4	4953	61.9	10.346	34.543999	34.544998	282.097565	274.2439	0.760976	1.765854	0.185366	7.609756	2291.699951	2091.899902	NA	42.634148	8.946342	0.04	26.540001	0.253659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.139999	1.162	2.434	15.617	38.006001	2.095	0.570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	362.441193	51.91	0	0	0	37.509998	13.34	24.940001	24.91	186.630005	0	22.860001	17.74	22.49
