/* DATA DESCRIPTION:
Citation:	Tara Oceans Consortium, Coordinators; Tara Oceans Expedition, Participants (2015): Registry of all stations from the Tara Oceans Expedition (2009-2013). PANGAEA, https://doi.org/10.1594/PANGAEA.842237
Abstract:	The Tara Oceans Expedition (2009-2013) sampled the world oceans on board a 36 m long schooner, collecting environmental data and organisms from viruses to planktonic metazoans for later analyses using modern sequencing and state-of-the-art imaging technologies. Tara Oceans Data are particularly suited to study the genetic, morphological and functional diversity of plankton. The present data set is a registry of all stations conducted during the Tara Oceans Expedition (2009-2013). The registry provides details about the scientific interest of each station, including (1) the geographic context, (2) legal context, (3) the environmental features that were targeted, and (4) a detailed account of devices deployed during the station. Uniform resource locators (URLs) offer direct links to the corresponding (1) physical oceanographic context reports, (2) list of samples collected during the station, (3) environmental data published at PANGAEA, and (4) nucleotides data published at the European Nucleotides Archive (EBI-ENA).
Related to:	Pesant, Stephane; Not, Fabrice; Picheral, Marc; Kandels-Lewis, Stefanie; Le Bescot, Noan; Gorsky, Gabriel; Iudicone, Daniele; Karsenti, Eric; Speich, Sabrina; Troublé, Romain; Dimier, Céline; Searson, Sarah; Acinas, Silvia G; Bork, Peer; Boss, Emmanuel; Bowler, Chris; De Vargas, Colomban; Follows, Michael J; Grimsley, Nigel; Hingamp, Pascal; Jaillon, Olivier; Karp-Boss, Lee; Krzic, Uros; Ogata, Hiroyuki; Raes, Jeroen; Reynaud G., Emmanuel; Sardet, Christian; Sieracki, Michael; Stemmann, Lars; Sullivan, Matthew B; Sunagawa, Shinichi; Velayoudon, Didier; Weissenbach, Jean; Wincker, Patrick (2015): Open science resources for the discovery and analysis of Tara Oceans data. Scientific Data, 2, 150023, https://doi.org/10.1038/sdata.2015.23
Project(s):	Fondation Tara Expeditions (FondTara)
	Tara Oceans Expedition (TOE-2009-2013) (URI: http://oceans.taraexpeditions.org/en/)
Coverage:	MEDIAN LATITUDE: 20.284571 * MEDIAN LONGITUDE: -22.562429 * SOUTH-BOUND LATITUDE: -64.308800 * WEST-BOUND LONGITUDE: -168.518200 * NORTH-BOUND LATITUDE: 79.675300 * EAST-BOUND LONGITUDE: 174.900600
	DATE/TIME START: 2009-09-07T00:00:00 * DATE/TIME END: 2013-10-27T00:00:00
Event(s):	TARA_001 * LATITUDE: 44.414800 * LONGITUDE: -9.832700 * DATE/TIME START: 2009-09-07T00:00:00 * DATE/TIME END: 2009-09-07T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_002 * LATITUDE: 39.037600 * LONGITUDE: -10.790400 * DATE/TIME START: 2009-09-09T00:00:00 * DATE/TIME END: 2009-09-09T00:00:00 * CAMPAIGN: TARA_20090905Z (Lorient to Lisbon, Stations: TARA_001-002) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_003 * LATITUDE: 36.671600 * LONGITUDE: -10.420800 * DATE/TIME START: 2009-09-13T00:00:00 * DATE/TIME END: 2009-09-13T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_004 * LATITUDE: 36.563200 * LONGITUDE: -6.552800 * DATE/TIME START: 2009-09-15T00:00:00 * DATE/TIME END: 2009-09-15T00:00:00 * CAMPAIGN: TARA_20090913Z (Lisbon to Tangier, Stations: TARA_003-004) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_005 * LATITUDE: 36.029700 * LONGITUDE: -4.405500 * DATE/TIME START: 2009-09-20T00:00:00 * DATE/TIME END: 2009-09-20T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_006 * LATITUDE: 36.529100 * LONGITUDE: -4.251200 * DATE/TIME START: 2009-09-21T00:00:00 * DATE/TIME END: 2009-09-21T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_007 * LATITUDE: 37.031300 * LONGITUDE: 1.948400 * DATE/TIME START: 2009-09-23T00:00:00 * DATE/TIME END: 2009-09-23T00:00:00 * CAMPAIGN: TARA_20090919Z (Tangier to Algiers, Stations: TARA_005-007) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_008 * LATITUDE: 38.011300 * LONGITUDE: 3.965700 * DATE/TIME START: 2009-09-27T00:00:00 * DATE/TIME END: 2009-09-27T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_009 * LATITUDE: 39.112100 * LONGITUDE: 5.819500 * DATE/TIME START: 2009-09-28T00:00:00 * DATE/TIME END: 2009-09-28T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_010 * LATITUDE: 40.668400 * LONGITUDE: 2.865300 * DATE/TIME START: 2009-09-30T00:00:00 * DATE/TIME END: 2009-09-30T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_011 * LATITUDE: 41.665900 * LONGITUDE: 2.797800 * DATE/TIME START: 2009-10-04T00:00:00 * DATE/TIME END: 2009-10-04T00:00:00 * CAMPAIGN: TARA_20090926Z (Algiers to Barcelona, Stations: TARA_008-011) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_012 * LATITUDE: 43.347700 * LONGITUDE: 7.898600 * DATE/TIME START: 2009-10-11T00:00:00 * DATE/TIME END: 2009-10-11T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_013 * LATITUDE: 37.987100 * LONGITUDE: 8.067800 * DATE/TIME START: 2009-10-14T00:00:00 * DATE/TIME END: 2009-10-14T00:00:00 * CAMPAIGN: TARA_20091011Z (Nice to Bizerte, Stations: TARA_012-013) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_014 * LATITUDE: 39.902400 * LONGITUDE: 12.858500 * DATE/TIME START: 2009-10-20T00:00:00 * DATE/TIME END: 2009-10-20T00:00:00 * CAMPAIGN: TARA_20091019Z (Bizerte to Naples, Stations: TARA_014) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
