Campaign	Station	Date/Time	Date/Time 2	Latitude	Longitude	Sampling	Depth, nominal (corresponding to a surface wa...)	Depth, nominal (corresponding to a deep chlor...)	Depth, nominal (corresponding to a layer with...)	Depth, nominal (corresponding to a mesopelagi...)	Depth, nominal (corresponding to an oxygen mi...)
TARA_20090905Z	TARA_001	2009-09-07T00:00	2009-09-07T00:00	44.415	-9.833	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20090905Z	TARA_002	2009-09-09T00:00	2009-09-09T00:00	39.038	-10.790	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20090913Z	TARA_003	2009-09-13T00:00	2009-09-13T00:00	36.672	-10.421	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20090913Z	TARA_004	2009-09-15T00:00	2009-09-15T00:00	36.563	-6.553	2	5 m	40 m	not sampled	not sampled	not sampled
TARA_20090919Z	TARA_005	2009-09-20T00:00	2009-09-20T00:00	36.030	-4.405	2	5 m	68 m	not sampled	not sampled	not sampled
TARA_20090919Z	TARA_006	2009-09-21T00:00	2009-09-21T00:00	36.529	-4.251	2	5 m	35 m	not sampled	not sampled	not sampled
TARA_20090919Z	TARA_007	2009-09-23T00:00	2009-09-23T00:00	37.031	1.948	2	5 m	42 m	not sampled	not sampled	not sampled
TARA_20090926Z	TARA_008	2009-09-27T00:00	2009-09-27T00:00	38.011	3.966	2	5 m	41 & 45 m	not sampled	not sampled	not sampled
TARA_20090926Z	TARA_009	2009-09-28T00:00	2009-09-28T00:00	39.112	5.819	2	5 m	55 & 60 m	not sampled	not sampled	not sampled
TARA_20090926Z	TARA_010	2009-09-30T00:00	2009-09-30T00:00	40.668	2.865	3	5 m	70-110 m	35 & 160 m	not sampled	not sampled
TARA_20090926Z	TARA_011	2009-10-04T00:00	2009-10-04T00:00	41.666	2.798	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091011Z	TARA_012	2009-10-11T00:00	2009-10-11T00:00	43.348	7.899	2	5 m	50 m	not sampled	not sampled	not sampled
TARA_20091011Z	TARA_013	2009-10-14T00:00	2009-10-14T00:00	37.987	8.068	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20091019Z	TARA_014	2009-10-20T00:00	2009-10-20T00:00	39.902	12.858	1	5 m	85 m	not sampled	not sampled	not sampled
TARA_20091025Z	TARA_015	2009-10-25T00:00	2009-10-26T00:00	38.933	14.530	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091025Z	TARA_016	2009-10-27T00:00	2009-10-27T00:00	37.398	15.454	2	5 m	65 m	not sampled	not sampled	not sampled
TARA_20091025Z	TARA_017	2009-10-28T00:00	2009-10-28T00:00	36.258	14.306	1	5 m	90 m	not sampled	not sampled	not sampled
TARA_20091031Z	TARA_018	2009-11-02T00:00	2009-11-02T00:00	35.756	14.287	2	5 m	60 & 80 m	not sampled	not sampled	not sampled
TARA_20091108Z	TARA_019	2009-11-11T00:00	2009-11-11T00:00	34.215	13.865	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091111Z	TARA_020	2009-11-12T00:00	2009-11-12T00:00	34.451	14.973	2	5 m	100 m	not sampled	not sampled	not sampled
TARA_20091111Z	TARA_021	2009-11-15T00:00	2009-11-15T00:00	37.511	17.285	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091111Z	TARA_022	2009-11-16T00:00	2009-11-16T00:00	39.729	17.400	2	5 m	30 & 60 m	not sampled	not sampled	not sampled
TARA_20091111Z	TARA_023	2009-11-18T00:00	2009-11-18T00:00	42.176	17.729	3	5 m	50 & 55 m	not sampled	not sampled	not sampled
TARA_20091111Z	TARA_024	2009-11-21T00:00	2009-11-21T00:00	42.457	17.956	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091122Z	TARA_025	2009-11-23T00:00	2009-11-23T00:00	39.333	19.421	3	5 m	50 m	not sampled	not sampled	not sampled
TARA_20091122Z	TARA_026	2009-11-24T00:00	2009-11-24T00:00	38.431	20.188	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20091128Z	TARA_027	2009-12-04T00:00	2009-12-04T00:00	34.094	32.934	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20091128Z	TARA_028	2009-12-04T00:00	2009-12-04T00:00	34.279	32.985	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20091214Z	TARA_029	2009-12-14T00:00	2009-12-14T00:00	33.928	35.342	1	not sampled	not sampled	not sampled	not sampled	not sampled
TARA_20091214Z	TARA_030	2009-12-15T00:00	2009-12-15T00:00	33.929	32.789	3	5 m	70 m	not sampled	not sampled	not sampled
TARA_20100108Z	TARA_031	2010-01-09T00:00	2010-01-09T00:00	27.151	34.819	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20100108Z	TARA_032	2010-01-11T00:00	2010-01-11T00:00	23.391	37.254	3	5 m	80 m	not sampled	not sampled	not sampled
TARA_20100108Z	TARA_033	2010-01-13T00:00	2010-01-13T00:00	22.057	38.218	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20100118Z	TARA_034	2010-01-20T00:00	2010-01-20T00:00	18.445	39.884	3	5 m	60 m	not sampled	not sampled	not sampled
TARA_20100309Z	TARA_036	2010-03-12T00:00	2010-03-12T00:00	20.824	63.525	3	5 m	17 & 20 m	not sampled	not sampled	not sampled
TARA_20100309Z	TARA_037	2010-03-12T00:00	2010-03-13T00:00	20.828	63.600	3	5 m	not sampled	not sampled	600 m	600 m
TARA_20100309Z	TARA_038	2010-03-15T00:00	2010-03-16T00:00	19.017	64.576	3	5 m	25 m	not sampled	340 m	340 m
TARA_20100309Z	TARA_039	2010-03-18T00:00	2010-03-20T00:00	18.647	66.463	3	5 m	25 m	not sampled	270 m	270 m
TARA_20100309Z	TARA_040	2010-03-22T00:00	2010-03-22T00:00	17.500	67.984	3	5 m	25 m	50, 75, 100 m	285 m	285 m
TARA_20100327Z	TARA_041	2010-03-29T00:00	2010-03-30T00:00	14.582	70.011	3	5 m	60 & 70 m	not sampled	not sampled	not sampled
TARA_20100327Z	TARA_042	2010-04-04T00:00	2010-04-04T00:00	5.992	73.919	3	5 m	80 m	not sampled	not sampled	not sampled
TARA_20100327Z	TARA_043	2010-04-05T00:00	2010-04-05T00:00	4.660	73.489	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20100410Z	TARA_044	2010-04-11T00:00	2010-04-11T00:00	2.806	71.520	3	5 m	not sampled	not sampled	195 m	not sampled
TARA_20100410Z	TARA_045	2010-04-12T00:00	2010-04-13T00:00	0.941	71.710	2	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20100410Z	TARA_046	2010-04-15T00:00	2010-04-15T00:00	-0.659	73.162	1	5 m	not sampled	not sampled	not sampled	not sampled
TARA_20100410Z	TARA_047	2010-04-16T00:00	2010-04-16T00:00	-2.042	72.164	1	5 m	not sampled	not sampled	not sampled	not sampled
