sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	TN_T_CONC_BOTTLE [umol/kg]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Mo_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	U_D_CONC_BOTTLE [nmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Cd_114_110_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0209	GA02	JC057	001	1629547	637580	-49.5472	-52.688109999999995	10	2322	10.1	9.995	33.984001	NA	3.615	2.113	285.600006	287.1	1.01	0	12.96	0.17	2277.800049	2073.100098	NA	NA	-1.78	-0.26	4.419512	48.763905	0.0528	35.192196	0.52	0.087805	118.364883	4.88	14.94	11.611706999999999	0.21	114.879997	11.05	NA	NA	NA	0.79678	0.715415	0.189949	25.082928	NA
S0210	GA02	JC057	001	1629547	637574	-49.5472	-52.688109999999995	49	2322	49.4	8.3	33.988998	NA	3.997	2.299	NA	288.4	1.21	0.12	15.13	0.17	2277.600098	2093.399902	NA	NA	-2.16	-0.26	5.473171	52.244877	0.1557	40.712196	0.43	0.087805	116.636101	4.82	10.06	11.857561	0.18	112.089996	10.1	NA	NA	NA	NA	NA	NA	26.517073	NA
S0211	GA02	JC057	002	1629582	637724	-48.8942	-48.73471000000001	11	5900	11.1	11.272	34.07	NA	3.291	1.996	285	280.6	0.91	0	11.62	0.16	2280.399902	2065.899902	62.439026	NA	-2.71	-0.17	0.946341	51.236099	0.06	44.117073	0.06	0.068293	125.603897	4.89	7.91	11.947317	0.12	114.059998	11.04	NA	NA	1.084	0.812976	2.292683	0.051814	19.531708	NA
S0212	GA02	JC057	002	1629582	637718	-48.8942	-48.73471000000001	51	5900	51.4	7.839	33.973	NA	3.927	2.322	NA	293	1.27	0.25	16.4	0.17	2276.199951	2096.600098	53.658539	NA	-2.75	-0.29	1.092683	56.877071	0.164	51.717072	0.09	0.087805	124.313171	4.97	8.17	12.008781	0.18	111.540001	10.92	NA	NA	0.96	NA	NA	NA	27.229267	1.396293
S0213	GA02	JC057	002	1629582	637709	-48.8942	-48.73471000000001	150	5900	151.3	3.867	34.047001	NA	4.528	2.604	292	295.1	1.76	10.53	25.57	0.05	2274.399902	2141.199951	NA	NA	-3.82	-0.46	0.790244	65.28878	0.5463	53.419514	0.11	0.17561	130.301453	5.4	10.18	12.041951	1.05	121.769997	13.94	NA	NA	NA	NA	NA	NA	43.219513	0.766244
S0214	GA02	JC057	003	1629596	638012	-46.92	-47.199580000000026	10	5733	10.1	17.166	34.620998	NA	2.41	1.488	241.899994	242.6	0.18	0.28	0.02	0.04	2305.199951	2033.699951	NA	NA	0.94	0.12	1.77561	46.987316	0.0183	22.44878	0.07	0.97561	126.356102	3.64	11.42	12.44	0.4	100.029999	11.09	NA	NA	NA	0.650439	0.325171	0.103627	21.482927	NA
S0215	GA02	JC057	003	1629596	638006	-46.92	-47.199580000000026	51	5733	51.4	14.844	35.438999	NA	NA	NA	NA	214.1	0.52	1.88	5.9	0.05	2336.199951	2106.100098	NA	NA	2.58	0.42	3.873171	48.550243	0.0301	41.853661	0.19	2.039024	131.735611	3.49	16.309999	12.451707	0.27	109.239998	13.79	NA	NA	NA	NA	NA	NA	39.775612	NA
S0216	GA02	JC057	003	1629596	637997	-46.92	-47.199580000000026	151	5733	152.3	12.607	35.206001	NA	2.843	1.718	NA	223.4	0.74	2.71	9.89	0.02	2320.300049	2113.899902	NA	NA	-0.31	-0.01	4.370732	52.138538	0.1257	NA	0.33	0.429268	129.579514	3.87	13.06	12.287805	0.39	104.699997	12.87	NA	NA	NA	NA	NA	NA	40.390244	NA
S0217	GA02	JC057	004	1629610	638156	-44.7068	-45.536099999999976	10	5063	10.1	16.967	34.527	NA	2.359	1.482	248.800003	247.6	0.2	0	0	0	2303.699951	2034.699951	215.609756	NA	-0.04	0.09	1.42439	37.801952	0.0058	21.560976	0.06	0.478049	130.423416	3.37	10.96	12.103415	0.11	75.660004	10.56	NA	NA	NA	0.243902	0.081268	0.017306	28.058537	NA
S0218	GA02	JC057	004	1629610	638150	-44.7068	-45.536099999999976	51	5063	51.4	11.899	34.527	NA	3.08	1.888	245.699997	251	0.67	0.17	6.07	0.88	2298.600098	2086.5	240.975616	NA	-0.05	-0.01	1.385366	40.018536	0.0107	31.697561	0.05	0.585366	128.58342	3.65	11.3	12.127805	0.12	91.480003	11	NA	NA	NA	NA	NA	NA	29.063416	NA
S0219	GA02	JC057	004	1629610	638141	-44.7068	-45.536099999999976	149	5063	150.3	8.126	34.521	NA	3.388	2.103	NA	258.6	1.18	3.97	16.620001	0.02	2291.600098	2125.300049	NA	NA	-1.98	-0.31	2.204878	52.188293	0.1401	NA	0.53	0.536585	129.59024	4.59	12.68	12.513171	0.28	110.449997	13.02	NA	NA	NA	NA	NA	NA	41.82439	NA
S0220	GA02	JC057	005	1629624	638300	-42.3713	-44.02578999999997	10	5159	10.1	17.211	34.576	NA	2.316	1.519	255.399994	251.8	0.21	0	0	0.02	2302.899902	2031.099976	95.609756	NA	-0.39	-0.26	1.092683	41.496586	0.006	22.751221	0.05	0.35122	132.202927	3.26	8.37	12.090732	0.38	69.010002	10.11	NA	NA	NA	0.211415	0.113854	0.034508	21.063416	NA
S0221	GA02	JC057	005	1629624	638294	-42.3713	-44.02578999999997	50	5159	50.4	13.46	34.592999	NA	2.667	1.779	NA	248.2	0.54	0.07	3.57	0.35	2302.5	2075.600098	110.243896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0222	GA02	JC057	005	1629624	638285	-42.3713	-44.02578999999997	150	5159	151.2	9.079	34.674	NA	3.229	2.017	254.699997	255.2	1.06	3.78	14.7	0.03	2299	2122.300049	NA	NA	-1.9	-0.3	2	51.40683	0.1022	49.170731	0.12	0.556098	130.067322	4.25	13.96	12.213659	0.07	110.199997	13.63	NA	NA	NA	NA	NA	NA	42.44878	NA
S0223	GA02	JC057	006	1629652	636995	-39.9632	-42.41660000000002	10	5147	10.1	21.256	34.796001	NA	1.908	1.247	223.199997	223.5	0.09	1.04	0	0.01	2309.5	2015.5	151.219513	NA	3.55	-0.11	3.814634	51.647804	0.0067	29.980488	0.09	2.478049	116.585373	3.04	14.24	12.116098	0.41	135.809998	19.370001	NA	NA	0.338	NA	NA	NA	27.746342	NA
S0224	GA02	JC057	006	1629652	636989	-39.9632	-42.41660000000002	50	5147	50.4	18.959	35.235001	NA	2.079	1.399	232.399994	234.2	0.14	0.76	0.08	0.04	2324.600098	2039.699951	491.707306	NA	4.25	0.01	3.404878	48.42244	0.0036	28.648781	0.03	1.804878	133.920975	2.98	12.41	12.312194999999999	0.03	115.720001	15.9	NA	NA	0.674	NA	NA	NA	26.409756	NA
S0225	GA02	JC057	006	1629652	636980	-39.9632	-42.41660000000002	149	5147	150.2	9.988	34.691002	NA	NA	NA	NA	221.2	1.15	4.42	16.290001	0.02	2293.600098	2129.199951	NA	NA	0.01	-0.38	4.878049	51.080002	0.1405	44.165855	0.7	0.565854	134.938538	3.73	11.87	11.915122	0.14	108.150002	13.93	NA	NA	NA	NA	NA	NA	38.702438	0.336488
S0226	GA02	JC057	007	1629673	637139	-37.8398	-41.13089000000002	9	5047	9.1	20.258	35.369999	NA	1.957	1.304	230.199997	228	0.07	0.8	0	0	2334.899902	2045.800049	84.878052	NA	3.93	0.38	4.243903	47.662437	0.004	26.243902	0.34	1.453658	146.468292	2.98	14.64	12.673171	0.4	104.870003	14.11	NA	NA	NA	0.504098	1.544683	0.155441	32.741463	NA
